[2016-02-28 16:55:33,123] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:55:33,126] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 16:55:33,126] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:55:33,126] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 16:55:33,126] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:55:33,126] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 16:56:56,638] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 16:56:56,640] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:56:56,640] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:56:56,640] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:56:56,641] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:56:56,641] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:56:56,641] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 16:56:56,641] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 16:56:56,643] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:56:56,644] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 16:56:56,644] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:56:56,644] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 16:56:56,644] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:56:56,645] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 16:56:56,645] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:56:56,646] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 16:56:56,646] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 16:56:56,646] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 16:56:56,646] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 18:25:33,975] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 18:25:33,978] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:25:33,979] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:25:33,979] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:25:33,979] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:25:33,979] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:25:33,979] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:25:33,979] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
[2016-02-28 18:25:33,982] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:25:33,990] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:25:33,990] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:25:33,990] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:25:33,991] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:25:33,993] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:25:33,993] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:25:33,994] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (jelly bean) has been added to collection
[2016-02-28 18:25:33,994] [main] [DEBUG][ by.bsuir.gift.checkers.FileInfoChecker:] File checked
[2016-02-28 18:25:33,994] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candy (chocolate bar) has been added to collection
[2016-02-28 18:25:33,994] [main] [ERROR][ by.bsuir.gift.checkers.FileInfoChecker:] Invalid numbers in file
[2016-02-28 18:25:33,995] [main] [DEBUG][ by.bsuir.gift.containers.CandiesBox:] Candies are set
[2016-02-28 18:26:08,795] [main] [DEBUG][ by.bsuir.gift.main.Main:] Log4j try
[2016-02-28 18:26:08,798] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:26:08,798] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:26:08,799] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:26:08,799] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:26:08,799] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:26:08,799] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] Candy added
[2016-02-28 18:26:08,799] [main] [DEBUG][ by.bsuir.gift.reader.CandiesFileReader:] File has been read
